Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Костикова, 4к1",7 минут пешком,Улица 1905 года,Лучшее предложение! Звони!,"2-комн. квартира, 64,76 м², 5/21 этаж",https://www.cian.ru/sale/flat/308907057/,67 490 000 ₽,1 042 156 ₽/м²
"Москва, СЗАО, р-н Митино, м. Пятницкое шоссе, Муравская улица, 42к2",18 минут пешком,Пятницкое шоссе,Свободная продажа квартиры,"2-комн. квартира, 50,7 м², 8/22 этаж",https://www.cian.ru/sale/flat/310479663/,15 000 000 ₽,295 858 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шелепихинское шоссе",7 минут пешком,Шелепиха,"2-комн. квартира, 79,56 м², 18/51 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/307676448/,31 820 022 ₽,399 950 ₽/м²
"Москва, ЮВАО, р-н Кузьминки, м. Кузьминки, Зеленодольская улица, 39",2 минуты пешком,Кузьминки,"2-комн. квартира, 45,5 м², 1/5 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/306183180/,16 200 000 ₽,356 044 ₽/м²
"Москва, ЮВАО, р-н Выхино-Жулебино, м. Рязанский проспект, улица Академика Скрябина, 5К2",7 минут пешком,Рязанский проспект,5 минут до метро!,"2-комн. квартира, 45,4 м², 9/12 этаж",https://www.cian.ru/sale/flat/310780643/,11 800 000 ₽,259 912 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Давыдково, Сет ЖК",19 минут пешком,Давыдково,"2-комн. квартира, 35,2 м², 8/59 этаж",Секция 2 • Сдача корпуса 3 кв. 2028,https://www.cian.ru/sale/flat/308951565/,14 618 560 ₽,415 300 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Киевская, переулок 1-й Тружеников, 16",11 минут пешком,Киевская,Лучшее предложение! Звони!,"2-комн. квартира, 106,9 м², 3/14 этаж",https://www.cian.ru/sale/flat/306226871/,160 350 000 ₽,1 500 000 ₽/м²
"Москва, ЮВАО, р-н Выхино-Жулебино, м. Юго-Восточная, Ташкентская улица, 4К1",7 минут пешком,Юго-Восточная,Семейная двушка с дизайн-ремонтом,"2-комн. квартира, 39 м², 7/14 этаж",https://www.cian.ru/sale/flat/302074602/,12 999 999 ₽,333 333 ₽/м²
"Москва, САО, р-н Аэропорт, м. Сокол, 2-й Амбулаторный проезд, 23АС4",14 минут пешком,Сокол,Жилой комплекс бизнес-класса SOUL,"2-комн. квартира, 65,2 м², 16/29 этаж • Секция 3",https://www.cian.ru/sale/flat/299852244/,25 026 498 ₽,383 842 ₽/м²
"Москва, ЮАО, р-н Зябликово, м. Борисово, улица Мусы Джалиля, 7К4",8 минут пешком,Борисово,Просторная двушка у парка,"2-комн. квартира, 57,7 м², 1/17 этаж",https://www.cian.ru/sale/flat/308537048/,14 990 000 ₽,259 792 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Серпуховская, Большая Пионерская улица, 28",10 минут пешком,Павелецкая,Квартира с евроремонтом,"2-комн. квартира, 51,7 м², 8/12 этаж",https://www.cian.ru/sale/flat/310799399/,30 000 000 ₽,580 271 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Филёвский парк, улица Василисы Кожиной, вл25/1",4 минуты на транспорте,Парк Победы,"2-комн. апартаменты, 71,8 м², 8/17 этаж",Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/308017401/,46 626 920 ₽,649 400 ₽/м²
"Москва, СВАО, р-н Северный, м. Физтех, Долгопрудненское шоссе, 6А",5 минут пешком,Физтех,"2-комн. апартаменты, 46,2 м², 3/11 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/298491254/,12 800 000 ₽,277 056 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Шелепиха, Шелепихинская набережная, 34к2зд1",17 минут пешком,Шелепиха,Для жизни на первой линии!,"2-комн. квартира, 46 м², 2/36 этаж",https://www.cian.ru/sale/flat/310667941/,28 500 000 ₽,619 565 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Мичуринский проспект, улица Сергея Бондарчука, 4",12 минут пешком,Мичуринский проспект,"2-комн. квартира, 82,6 м², 3/12 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/309357160/,83 313 300 ₽,1 008 636 ₽/м²
"Москва, ЮВАО, р-н Люблино, м. Люблино, улица Марьинский Парк, 41К2",5 минут на транспорте,Люблино,"2-комн. квартира, 53,3 м², 8/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/299605341/,12 500 000 ₽,234 522 ₽/м²
"Москва, ВАО, р-н Гольяново, м. Щёлковская, Байкальская улица, 15",12 минут пешком,Щёлковская,Квартира с дизайнерским ремонтом!,"2-комн. квартира, 40 м², 6/9 этаж",https://www.cian.ru/sale/flat/310798925/,14 350 000 ₽,358 750 ₽/м²
"Москва, ЮАО, р-н Нагорный, м. Нагорная, Электролитный проезд, 12Б",8 минут пешком,Нагорная,"2-комн. квартира, 39,2 м², 9/34 этаж",Секция 1 • Сдача корпуса 1 кв. 2026,https://www.cian.ru/sale/flat/303506216/,18 286 800 ₽,466 500 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Садовническая набережная, 7",9 минут пешком,Новокузнецкая,Эксклюзивные апартаменты у РЕКИ!,"2-комн. апартаменты, 137 м², 4/6 этаж",https://www.cian.ru/sale/flat/309819745/,200 850 000 ₽,1 466 058 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Большой Тишинский переулок, 43",10 минут пешком,Улица 1905 года,"2-комн. квартира, 40 м², 10/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310555540/,25 900 000 ₽,647 500 ₽/м²
"Москва, ЮЗАО, р-н Черемушки, м. Калужская, Херсонская улица, 43к5",18 минут пешком,Калужская,"2-комн. квартира, 62,7 м², 24/32 этаж",Сдан,https://www.cian.ru/sale/flat/310580355/,38 486 514 ₽,613 820 ₽/м²
"Москва, СВАО, р-н Отрадное, м. Дегунино, Алтуфьевское шоссе, 30В",16 минут пешком,Отрадное,"2-комн. квартира, 44,7 м², 6/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309544690/,11 850 000 ₽,265 101 ₽/м²
"Москва, ВАО, р-н Измайлово, м. Измайловская, 5-я Парковая улица, 11",7 минут пешком,Измайловская,Уютная дизайнерская квартира,"2-комн. квартира, 63,5 м², 5/5 этаж",https://www.cian.ru/sale/flat/310739174/,23 400 000 ₽,368 504 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Краснопресненская набережная, 14Ак1",14 минут пешком,Деловой центр,"2-комн. квартира, 73,2 м², 40/67 этаж",Сдан,https://www.cian.ru/sale/flat/305787512/,84 180 000 ₽,1 150 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",17 минут пешком,Парк Победы,"2-комн. апартаменты, 63 м², 9/32 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309991287/,49 800 000 ₽,790 476 ₽/м²
"Москва, НАО (Новомосковский), м. Филатов Луг, Филатов Луг ЖК, улица Картмазовские Пруды, 2к3",4 минуты на транспорте,Филатов Луг,Уникальный стильный ремонт!,"2-комн. квартира, 39,9 м², 21/22 этаж",https://www.cian.ru/sale/flat/308852244/,10 400 000 ₽,260 652 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Боровицкая, Лаврушинский ЖК",4 минуты на транспорте,Третьяковская,"2-комн. квартира, 85,6 м², 2/14 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/293713880/,184 760 000 ₽,2 158 411 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",17 минут пешком,Парк Победы,Прекрасный вид!,"2-комн. апартаменты, 62,7 м², 12/34 этаж",https://www.cian.ru/sale/flat/309186192/,55 000 000 ₽,877 193 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Ломоносовский проспект, 29к1",5 минут пешком,Ломоносовский проспект,Качественный ремонт I Вид на МГУ,"2-комн. квартира, 93 м², 10/15 этаж",https://www.cian.ru/sale/flat/310234200/,55 000 000 ₽,591 398 ₽/м²
